TITLE = "Artificial-viscosity beta sweep"
VARIABLES = "x", "rho", "u", "p"
ZONE T="Exact", I=501, F=POINT
2.960000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
2.980000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.000000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.020000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.040000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.060000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.080000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.100000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.120000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.140000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.160000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.180000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.200000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.220000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.240000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.260000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
