TITLE = "Artificial-viscosity beta sweep"
VARIABLES = "x", "rho", "u", "p"
ZONE T="Exact", I=501, F=POINT
5.000000000000000e-02 1.000000000000000e+00 -2.000000000000000e+00 4.000000000000000e-01
5.200000000000000e-02 1.000000000000000e+00 -2.000000000000000e+00 4.000000000000000e-01
5.400000000000000e-02 1.000000000000000e+00 -2.000000000000000e+00 4.000000000000000e-01
5.600000000000000e-02 1.000000000000000e+00 -2.000000000000000e+00 4.000000000000000e-01
5.800000000000000e-02 1.000000000000000e+00 -2.000000000000000e+00 4.000000000000000e-01
6.000000000000000e-02 1.000000000000000e+00 -2.000000000000000e+00 4.000000000000000e-01
6.200000000000000e-02 1.000000000000000e+00 -2.000000000000000e+00 4.000000000000000e-01
6.400000000000000e-02 1.000000000000000e+00 -2.000000000000000e+00 4.000000000000000e-01
6.600000000000000e-02 1.000000000000000e+00 -2.000000000000000e+00 4.000000000000000e-01
6.800000000000000e-02 1.000000000000000e+00 -2.000000000000000e+00 4.000000000000000e-01
7.000000000000001e-02 1.000000000000000e+00 -2.000000000000000e+00 4.000000000000000e-01
7.200000000000001e-02 1.000000000000000e+00 -2.000000000000000e+00 4.000000000000000e-01
7.400000000000000e-02 1.000000000000000e+00 -2.000000000000000e+00 4.000000000000000e-01
7.600000000000000e-02 1.000000000000000e+00 -2.000000000000000e+00 4.000000000000000e-01
7.800000000000000e-02 1.000000000000000e+00 -2.000000000000000e+00 4.000000000000000e-01
8.000000000000000e-02 1.000000000000000e+00 -2.000000000000000e+00 4.000000000000000e-01
8.200000000000000e-02 1.000000000000000e+00 -2.000000000000000e+00 4.000000000000000e-01
8.400000000000001e-02 1.000000000000000e+00 -2.000000000000000e+00 4.000000000000000e-01
8.600000000000001e-02 1.000000000000000e+00 -2.000000000000000e+00 4.000000000000000e-01
8.799999999999999e-02 9.981474602390318e-01 -1.998612657759899e+00 3.989629622495761e-01
9.000000000000000e-02 9.834094466098620e-01 -1.987501546648788e+00 3.907402206793746e-01
9.200000000000000e-02 9.688460391137699e-01 -1.976390435537677e+00 3.826631715531867e-01
9.400000000000000e-02 9.544556816725118e-01 -1.965279324426565e+00 3.747296573099508e-01
9.600000000000000e-02 9.402368274805325e-01 -1.954168213315455e+00 3.669375460257596e-01
9.800000000000000e-02 9.261879389772782e-01 -1.943057102204343e+00 3.592847311847171e-01
1.000000000000000e-01 9.123074878194669e-01 -1.931945991093232e+00 3.517691314511406e-01
1.020000000000000e-01 8.985939548533715e-01 -1.920834879982122e+00 3.443886904431366e-01
1.040000000000000e-01 8.850458300871354e-01 -1.909723768871010e+00 3.371413765075537e-01
1.060000000000000e-01 8.716616126630360e-01 -1.898612657759899e+00 3.300251824962671e-01
1.080000000000000e-01 8.584398108297795e-01 -1.887501546648788e+00 3.230381255438314e-01
1.100000000000000e-01 8.453789419148047e-01 -1.876390435537677e+00 3.161782468464878e-01
1.120000000000000e-01 8.324775322965609e-01 -1.865279324426565e+00 3.094436114425024e-01
1.140000000000000e-01 8.197341173767824e-01 -1.854168213315455e+00 3.028323079938450e-01
1.160000000000000e-01 8.071472415528134e-01 -1.843057102204343e+00 2.963424485692276e-01
1.180000000000000e-01 7.947154581898677e-01 -1.831945991093232e+00 2.899721684284464e-01
1.200000000000000e-01 7.824373295933235e-01 -1.820834879982121e+00 2.837196258080660e-01
1.220000000000000e-01 7.703114269810258e-01 -1.809723768871010e+00 2.775830017084356e-01
1.240000000000000e-01 7.583363304555609e-01 -1.798612657759899e+00 2.715604996820086e-01
1.260000000000000e-01 7.465106289765462e-01 -1.787501546648788e+00 2.656503456229880e-01
1.280000000000000e-01 7.348329203329343e-01 -1.776390435537677e+00 2.598507875582903e-01
1.300000000000000e-01 7.233018111152898e-01 -1.765279324426565e+00 2.541600954398041e-01
1.320000000000000e-01 7.119159166880706e-01 -1.754168213315455e+00 2.485765609379543e-01
1.340000000000000e-01 7.006738611619407e-01 -1.743057102204343e+00 2.430984972365831e-01
1.360000000000000e-01 6.895742773660423e-01 -1.731945991093232e+00 2.377242388291050e-01
1.380000000000000e-01 6.786158068202812e-01 -1.720834879982121e+00 2.324521413159611e-01
1.400000000000000e-01 6.677970997076353e-01 -1.709723768871010e+00 2.272805812033719e-01
1.420000000000000e-01 6.571168148464260e-01 -1.698612657759899e+00 2.222079557033549e-01
1.440000000000000e-01 6.465736196626095e-01 -1.687501546648788e+00 2.172326825350327e-01
1.460000000000000e-01 6.361661901620804e-01 -1.676390435537677e+00 2.123531997272200e-01
1.480000000000000e-01 6.258932109029453e-01 -1.665279324426565e+00 2.075679654222692e-01
1.500000000000000e-01 6.157533749678149e-01 -1.654168213315454e+00 2.028754576811913e-01
1.520000000000000e-01 6.057453839360990e-01 -1.643057102204343e+00 1.982741742900402e-01
1.540000000000000e-01 5.958679478562930e-01 -1.631945991093232e+00 1.937626325675531e-01
1.560000000000000e-01 5.861197852182638e-01 -1.620834879982121e+00 1.893393691740445e-01
1.580000000000000e-01 5.764996229255460e-01 -1.609723768871010e+00 1.850029399215554e-01
1.600000000000000e-01 5.670061962676227e-01 -1.598612657759899e+00 1.807519195852429e-01
1.620000000000000e-01 5.576382488922225e-01 -1.587501546648788e+00 1.765849017160181e-01
1.640000000000000e-01 5.483945327776015e-01 -1.576390435537676e+00 1.725004984544169e-01
1.660000000000000e-01 5.392738082048409e-01 -1.565279324426565e+00 1.684973403457107e-01
1.680000000000000e-01 5.302748437301283e-01 -1.554168213315454e+00 1.645740761562409e-01
1.700000000000000e-01 5.213964161570498e-01 -1.543057102204343e+00 1.607293726909836e-01
1.720000000000000e-01 5.126373105088832e-01 -1.531945991093232e+00 1.569619146123366e-01
1.740000000000000e-01 5.039963200008798e-01 -1.520834879982121e+00 1.532704042601195e-01
1.760000000000000e-01 4.954722460125604e-01 -1.509723768871010e+00 1.496535614727930e-01
1.780000000000000e-01 4.870638980599998e-01 -1.498612657759899e+00 1.461101234098836e-01
1.800000000000000e-01 4.787700937681177e-01 -1.487501546648788e+00 1.426388443756154e-01
1.820000000000000e-01 4.705896588429708e-01 -1.476390435537676e+00 1.392384956437450e-01
1.840000000000000e-01 4.625214270440361e-01 -1.465279324426566e+00 1.359078652835884e-01
1.860000000000000e-01 4.545642401565056e-01 -1.454168213315454e+00 1.326457579872473e-01
1.880000000000000e-01 4.467169479635714e-01 -1.443057102204343e+00 1.294509948980192e-01
1.900000000000000e-01 4.389784082187194e-01 -1.431945991093232e+00 1.263224134399965e-01
1.920000000000000e-01 4.313474866180131e-01 -1.420834879982121e+00 1.232588671488424e-01
1.940000000000000e-01 4.238230567723882e-01 -1.409723768871010e+00 1.202592255037474e-01
1.960000000000000e-01 4.164040001799373e-01 -1.398612657759899e+00 1.173223737605553e-01
1.980000000000000e-01 4.090892061982014e-01 -1.387501546648787e+00 1.144472127860589e-01
2.000000000000000e-01 4.018775720164612e-01 -1.376390435537676e+00 1.116326588934615e-01
2.020000000000000e-01 3.947680026280206e-01 -1.365279324426565e+00 1.088776436789946e-01
2.040000000000000e-01 3.877594108025024e-01 -1.354168213315454e+00 1.061811138596973e-01
2.060000000000000e-01 3.808507170581321e-01 -1.343057102204343e+00 1.035420311123421e-01
2.080000000000000e-01 3.740408496340310e-01 -1.331945991093232e+00 1.009593719135135e-01
2.100000000000000e-01 3.673287444625032e-01 -1.320834879982121e+00 9.843212738082648e-02
2.120000000000000e-01 3.607133451413247e-01 -1.309723768871010e+00 9.595930311528759e-02
2.140000000000000e-01 3.541936029060362e-01 -1.298612657759899e+00 9.353991904479098e-02
2.160000000000000e-01 3.477684766022268e-01 -1.287501546648788e+00 9.117300926874389e-02
2.180000000000000e-01 3.414369326578277e-01 -1.276390435537677e+00 8.885762190382299e-02
2.200000000000000e-01 3.351979450553982e-01 -1.265279324426566e+00 8.659281893085072e-02
2.220000000000000e-01 3.290504953044188e-01 -1.254168213315454e+00 8.437767604279402e-02
