TITLE = "Riemann numerical vs exact"
VARIABLES = "x", "rho", "u", "p"
ZONE T="Numerical", I=501, F=POINT
2.480000000000000e-01 2.554488226000000e-01 -1.107198646000000e+00 5.938532160000000e-02
2.500000000000000e-01 2.503134282000000e-01 -1.095707250000000e+00 5.773236240000000e-02
2.520000000000000e-01 2.452585839000000e-01 -1.084214385800000e+00 5.611903920000000e-02
2.540000000000000e-01 2.402835190000000e-01 -1.072720586500000e+00 5.454464700000000e-02
2.560000000000000e-01 2.353874907000000e-01 -1.061226467900000e+00 5.300849690000000e-02
2.580000000000000e-01 2.305697782000000e-01 -1.049732726500000e+00 5.150991460000000e-02
2.600000000000000e-01 2.258296626000000e-01 -1.038240074100000e+00 5.004823190000000e-02
2.620000000000000e-01 2.211664202000000e-01 -1.026749223900000e+00 4.862278470000000e-02
2.640000000000000e-01 2.165793219000000e-01 -1.015260891400000e+00 4.723291300000000e-02
2.660000000000000e-01 2.120676339000000e-01 -1.003775793000000e+00 4.587796160000000e-02
2.680000000000000e-01 2.076306179000000e-01 -9.922946466000000e-01 4.455727980000000e-02
2.700000000000000e-01 2.032675323000000e-01 -9.808181709000000e-01 4.327022180000000e-02
2.720000000000000e-01 1.989776334000000e-01 -9.693470870000001e-01 4.201614700000000e-02
2.740000000000000e-01 1.947601762000000e-01 -9.578821193000000e-01 4.079442030000000e-02
2.760000000000000e-01 1.906144158000000e-01 -9.464239967000000e-01 3.960441240000000e-02
2.780000000000000e-01 1.865396083000000e-01 -9.349734548000000e-01 3.844550010000000e-02
2.800000000000000e-01 1.825350121000000e-01 -9.235312378000000e-01 3.731706660000000e-02
2.820000000000000e-01 1.785998891000000e-01 -9.120981001000000e-01 3.621850160000000e-02
2.840000000000000e-01 1.747335049000000e-01 -9.006748086000000e-01 3.514920190000000e-02
2.860000000000000e-01 1.709351302000000e-01 -8.892621439000000e-01 3.410857110000000e-02
2.880000000000000e-01 1.672040408000000e-01 -8.778609020000000e-01 3.309601980000000e-02
2.900000000000000e-01 1.635395181000000e-01 -8.664718956000000e-01 3.211096620000000e-02
2.920000000000000e-01 1.599408495000000e-01 -8.550959543000000e-01 3.115283520000000e-02
2.940000000000000e-01 1.564073277000000e-01 -8.437339251000000e-01 3.022105920000000e-02
2.960000000000000e-01 1.529382510000000e-01 -8.323866723000000e-01 2.931507780000000e-02
2.980000000000000e-01 1.495329228000000e-01 -8.210550769000000e-01 2.843433740000000e-02
3.000000000000000e-01 1.461906509000000e-01 -8.097400353999999e-01 2.757829160000000e-02
3.020000000000000e-01 1.429107467000000e-01 -7.984424580000000e-01 2.674640070000000e-02
3.040000000000000e-01 1.396925251000000e-01 -7.871632668000000e-01 2.593813180000000e-02
3.060000000000000e-01 1.365353028000000e-01 -7.759033933000000e-01 2.515295840000000e-02
3.080000000000000e-01 1.334383976000000e-01 -7.646637749000000e-01 2.439036060000000e-02
3.100000000000000e-01 1.304011276000000e-01 -7.534453516000000e-01 2.364982470000000e-02
3.120000000000000e-01 1.274228099000000e-01 -7.422490616000000e-01 2.293084300000000e-02
3.140000000000000e-01 1.245027595000000e-01 -7.310758367000000e-01 2.223291360000000e-02
3.160000000000000e-01 1.216402881000000e-01 -7.199265968000000e-01 2.155554080000000e-02
3.180000000000000e-01 1.188347028000000e-01 -7.088022437000000e-01 2.089823410000000e-02
3.200000000000000e-01 1.160853051000000e-01 -6.977036548000000e-01 2.026050880000000e-02
3.220000000000000e-01 1.133913896000000e-01 -6.866316752000000e-01 1.964188510000000e-02
3.240000000000000e-01 1.107522424000000e-01 -6.755871094000000e-01 1.904188890000000e-02
3.260000000000000e-01 1.081671405000000e-01 -6.645707127000000e-01 1.846005070000000e-02
3.280000000000000e-01 1.056353498000000e-01 -6.535831806000000e-01 1.789590620000000e-02
3.300000000000000e-01 1.031561247000000e-01 -6.426251383000000e-01 1.734899570000000e-02
3.320000000000000e-01 1.007287062000000e-01 -6.316971285000000e-01 1.681886410000000e-02
3.340000000000000e-01 9.835232120000000e-02 -6.207995987000000e-01 1.630506110000000e-02
3.360000000000000e-01 9.602618120000000e-02 -6.099328874000000e-01 1.580714060000000e-02
3.380000000000000e-01 9.374948160000000e-02 -5.990972090000000e-01 1.532466080000000e-02
3.400000000000000e-01 9.152140020000001e-02 -5.882926390000000e-01 1.485718430000000e-02
3.420000000000000e-01 8.934109730000001e-02 -5.775190966000000e-01 1.440427770000000e-02
3.440000000000000e-01 8.720771430000000e-02 -5.667763287000001e-01 1.396551190000000e-02
3.460000000000000e-01 8.512037430000000e-02 -5.560638927000000e-01 1.354046200000000e-02
3.480000000000000e-01 8.307818110000000e-02 -5.453811394000000e-01 1.312870710000000e-02
3.500000000000000e-01 8.108022040000000e-02 -5.347271975000000e-01 1.272983090000000e-02
3.520000000000000e-01 7.912556000000000e-02 -5.241009586000001e-01 1.234342150000000e-02
3.540000000000000e-01 7.721325150000000e-02 -5.135010657000000e-01 1.196907190000000e-02
3.560000000000000e-01 7.534233230000000e-02 -5.029259036000000e-01 1.160638030000000e-02
3.580000000000000e-01 7.351182830000000e-02 -4.923735955000000e-01 1.125495080000000e-02
3.600000000000000e-01 7.172075729999999e-02 -4.818420046000000e-01 1.091439380000000e-02
3.620000000000000e-01 6.996813400000000e-02 -4.713287445000000e-01 1.058432710000000e-02
3.640000000000000e-01 6.825297540000000e-02 -4.608311990000000e-01 1.026437690000000e-02
