TITLE = "Riemann numerical vs exact"
VARIABLES = "x", "rho", "u", "p"
ZONE T="Numerical", I=501, F=POINT
3.700000000000000e-01 3.961884956000000e-01 -4.677000000000000e-05 1.094397532100000e+00
3.720000000000000e-01 3.961871933000000e-01 -4.514000000000000e-05 1.094396401600000e+00
3.740000000000000e-01 3.961858313000000e-01 -4.344080000000000e-05 1.094395219200000e+00
3.760000000000000e-01 3.961844975000000e-01 -4.212610000000000e-05 1.094394338500000e+00
3.780000000000000e-01 3.961832020000000e-01 -4.126160000000000e-05 1.094393810500000e+00
3.800000000000000e-01 3.961818654000000e-01 -4.047230000000000e-05 1.094393343300000e+00
3.820000000000000e-01 3.961804053000000e-01 -3.936840000000000e-05 1.094392633100000e+00
3.840000000000000e-01 3.961788233000000e-01 -3.797560000000000e-05 1.094391699800000e+00
3.860000000000000e-01 3.961771889000000e-01 -3.665930000000000e-05 1.094390828300000e+00
3.880000000000000e-01 3.961755516000000e-01 -3.569200000000000e-05 1.094390231000000e+00
3.900000000000000e-01 3.961738806000000e-01 -3.495060000000000e-05 1.094389811800000e+00
3.920000000000000e-01 3.961721017000000e-01 -3.409540000000000e-05 1.094389306300000e+00
3.940000000000000e-01 3.961701839000000e-01 -3.300260000000000e-05 1.094388617800000e+00
3.960000000000000e-01 3.961681613000000e-01 -3.187490000000000e-05 1.094387904600000e+00
3.980000000000000e-01 3.961660730000000e-01 -3.094670000000000e-05 1.094387349100000e+00
4.000000000000000e-01 3.961639054000000e-01 -3.019610000000000e-05 1.094386934400000e+00
4.020000000000000e-01 3.961616068000000e-01 -2.941410000000000e-05 1.094386497700000e+00
4.040000000000000e-01 3.961591467000000e-01 -2.850030000000000e-05 1.094385960800000e+00
4.060000000000000e-01 3.961565356000000e-01 -2.756380000000000e-05 1.094385408800000e+00
4.080000000000000e-01 3.961537871000000e-01 -2.673880000000000e-05 1.094384946300000e+00
4.100000000000000e-01 3.961508828000000e-01 -2.600880000000000e-05 1.094384560300000e+00
4.120000000000000e-01 3.961477838000000e-01 -2.526250000000000e-05 1.094384164500000e+00
4.140000000000000e-01 3.961444638000000e-01 -2.446100000000000e-05 1.094383728300000e+00
4.160000000000000e-01 3.961409148000000e-01 -2.366750000000000e-05 1.094383301200000e+00
4.180000000000000e-01 3.961371236000000e-01 -2.293580000000000e-05 1.094382925200000e+00
4.200000000000000e-01 3.961330578000000e-01 -2.224140000000000e-05 1.094382581100000e+00
4.220000000000000e-01 3.961286771000000e-01 -2.153680000000000e-05 1.094382232000000e+00
