run_id,case_name,case,viscosity,sensor,beta,cfl,nx,mode,t_max,status,reason,solution_time
run_0136,visc_on_sensor_p_beta_1_cfl_0p2_nx_1001_mode_1,5,on,p,1.0,0.2,1001,1,0.2,completed,completed,0.2
run_0137,visc_on_sensor_p_beta_1_cfl_0p5_nx_101_mode_1,5,on,p,1.0,0.5,101,1,0.2,completed,completed,0.2
run_0138,visc_on_sensor_p_beta_1_cfl_0p5_nx_201_mode_1,5,on,p,1.0,0.5,201,1,0.2,completed,completed,0.2
run_0139,visc_on_sensor_p_beta_1_cfl_0p5_nx_501_mode_1,5,on,p,1.0,0.5,501,1,0.2,completed,completed,0.2
run_0140,visc_on_sensor_p_beta_1_cfl_0p5_nx_1001_mode_1,5,on,p,1.0,0.5,1001,1,0.2,completed,completed,0.2
run_0141,visc_on_sensor_p_beta_1_cfl_0p8_nx_101_mode_1,5,on,p,1.0,0.8,101,1,0.2,completed,completed,0.2
run_0142,visc_on_sensor_p_beta_1_cfl_0p8_nx_201_mode_1,5,on,p,1.0,0.8,201,1,0.2,completed,completed,0.2
run_0143,visc_on_sensor_p_beta_1_cfl_0p8_nx_501_mode_1,5,on,p,1.0,0.8,501,1,0.2,completed,completed,0.2
run_0144,visc_on_sensor_p_beta_1_cfl_0p8_nx_1001_mode_1,5,on,p,1.0,0.8,1001,1,0.2,completed,completed,0.2
run_0145,visc_on_sensor_rho_beta_1p5_cfl_0p2_nx_101_mode_1,5,on,rho,1.5,0.2,101,1,0.2,completed,completed,0.2
run_0146,visc_on_sensor_rho_beta_1p5_cfl_0p2_nx_201_mode_1,5,on,rho,1.5,0.2,201,1,0.2,completed,completed,0.2
run_0147,visc_on_sensor_rho_beta_1p5_cfl_0p2_nx_501_mode_1,5,on,rho,1.5,0.2,501,1,0.2,completed,completed,0.2
run_0148,visc_on_sensor_rho_beta_1p5_cfl_0p2_nx_1001_mode_1,5,on,rho,1.5,0.2,1001,1,0.2,completed,completed,0.2
run_0149,visc_on_sensor_rho_beta_1p5_cfl_0p5_nx_101_mode_1,5,on,rho,1.5,0.5,101,1,0.2,completed,completed,0.2
run_0150,visc_on_sensor_rho_beta_1p5_cfl_0p5_nx_201_mode_1,5,on,rho,1.5,0.5,201,1,0.2,completed,completed,0.2
run_0151,visc_on_sensor_rho_beta_1p5_cfl_0p5_nx_501_mode_1,5,on,rho,1.5,0.5,501,1,0.2,completed,completed,0.2
run_0152,visc_on_sensor_rho_beta_1p5_cfl_0p5_nx_1001_mode_1,5,on,rho,1.5,0.5,1001,1,0.2,completed,completed,0.2
run_0153,visc_on_sensor_rho_beta_1p5_cfl_0p8_nx_101_mode_1,5,on,rho,1.5,0.8,101,1,0.2,completed,completed,0.2
